Municipality,Longitude,Latitude
?utselk'e,-110.74,62.4
Aklavik,-135.01,68.22
Akulivik,-78.2,60.8
Aldina,-106.88,53.0
Angus,-79.88,44.32
Apple Hill,-74.77,45.22
Arctic Bay,-85.17,73.03
Arviat,-94.06,61.11
Aspen Grove,-120.62,49.93
Atwood,-81.02,43.67
Badgerville,-101.92,51.63
Baker Brook,-67.67,47.18
Bakers Narrows,-101.66,54.68
Barrière,-120.12,51.18
Bathurst Inlet,-108.05,66.84
Beaverton,-79.15,44.43
Behchok??,-116.06,62.83
Bellarmin,-70.59,45.75
Black Tickle,-55.77,53.46
Blaketown,-53.55,47.48
Bourget,-75.16,45.44
Bowen Bay,-123.42,49.35
Brant,-81.14,44.19
Bridgenorth,-78.38,44.38
Bromptonville,-71.94,45.47
Brownsburg,-74.41,45.68
Brûlé,-117.87,53.28
Buchans Junction,-56.48,48.85
Burwash Landing,-138.99,61.36
Bushell Park,-105.55,50.33
Calstock,-84.14,49.79
Cannington,-79.04,44.35
Cape Dorset,-76.54,64.23
Cape Egmont,-64.1,46.4
Cape Ray,-59.29,47.64
Cap-Pele,-64.27,46.22
Carcross,-134.71,60.17
Carmacks,-136.3,62.09
Carway,-113.38,49.0
Castor River North,-56.96,50.93
Cat Lake,-91.82,51.72
Catalina,-53.08,48.52
Cavendish,-53.49,47.72
Chesterfield Inlet,-90.7,63.34
Churchill Falls,-64.01,53.53
Clarenceville,-73.25,45.06
Cobbs Arm,-54.57,49.62
Colville Lake,-126.09,67.04
Comber,-82.55,42.23
Cumberland Beach,-79.39,44.7
Cutler,-82.46,46.2
Deadman's Bay,-53.69,49.35
Deep Bight,-53.95,48.09
Del Bonita,-112.79,49.03
Dél?ne,-123.42,65.19
Destruction Bay,-138.8,61.25
Dettah,-114.31,62.41
Dildo,-53.55,47.57
Dublin,-81.29,43.5
Ellerslie,-63.94,46.6
Eskasoni,-60.62,45.94
Faro,-133.36,62.23
Flat Bay,-58.56,48.43
Florenceville,-67.61,46.45
Fogo,-54.28,49.71
Forresters Point,-56.8,51.18
Fort Albany,-81.68,52.21
Fort Good Hope,-128.64,66.26
Fort Liard,-123.48,60.24
Fort McMurray,-111.38,56.73
Fort McPherson,-134.88,67.44
Fort Providence,-117.65,61.36
Fort Resolution,-113.67,61.17
Fort Severn,-87.62,56.0
Frances Lake,-129.29,61.28
François,-56.75,47.58
Gamètì,-117.35,64.11
Gaskiers,-53.61,46.87
Gaspereaux,-62.47,46.11
Georges Brook,-54.34,48.5
Georgian Highlands,-80.13,44.77
Gjoa Haven,-95.88,68.63
Goodfish Lake,-111.81,54.3
Gordondale,-119.54,55.84
Grandes-Bergeronnes,-69.55,48.25
Grasmere,-115.08,49.1
Great Harbour Deep,-56.52,50.37
Green Island Brook,-56.53,51.4
Grey River,-57.1,47.59
Grise Fiord,-82.9,76.42
Haines Junction,-137.51,60.75
Happy Valley-Goose Bay,-60.45,53.34
Hawkestone,-79.47,44.5
Hermitage,-55.93,47.55
Highlands-District of,-123.51,48.48
Hodge's Cove,-53.74,48.01
Horwood,-54.52,49.46
Igloolik,-81.8,69.38
Ilderton,-81.38,43.08
Ivujivik,-77.92,62.42
Jean de Baie,-55.07,47.22
Jean Marie River,-120.63,61.53
Jenner,-111.18,50.75
Joe Batt's Arm-Barr'd Islands-Shoal Bay,-54.15,49.72
John D'Or Prairie,-115.15,58.5
Johnsons Crossing,-133.31,60.48
Joutel,-78.31,49.46
Kangirsuk,-70.03,60.02
Kasabonika,-88.61,53.53
Keno Hill,-135.3,63.91
Kettle Point,-82.02,43.18
Kimmirut,-69.87,62.85
King City,-79.52,43.93
Kingsgate,-116.18,49.0
Kugaaruk,-89.83,68.53
La Scie,-55.61,49.96
Labelle,-74.73,46.28
Lake Country- District of,-119.4,50.03
Lavillette,-65.33,47.26
Lennox Island,-63.86,46.6
Lyn,-75.78,44.58
Manouane,-73.81,47.89
Marieval,-102.65,50.58
Marsh Lake,-134.33,60.51
Maskwacis,-113.46,52.83
Mayne,-123.3,48.85
Merlin,-82.23,42.24
Métabetchouan--Lac-à-la-Croix,-71.87,48.43
Micmac,-63.49,45.1
Milltown-Head of Bay D'Espoir,-55.74,47.93
Miminegash,-64.23,46.88
Mistawasis,-106.8,53.18
Monchy,-107.83,49.02
Monkland,-74.88,45.2
Montreal Lake,-105.77,54.05
Moose Creek,-74.97,45.26
Moreton's Harbour,-54.87,49.57
Mount Brydges,-81.5,42.91
Murraydale,-109.28,49.7
Muskeg River,-118.65,53.92
Nahanni Butte,-123.38,61.04
Nail Pond,-64.06,46.98
Nanisivik,-84.55,73.03
Naujaat,-86.25,66.53
Nelway,-117.28,49.0
Nemiscau,-76.25,51.7
Nestor Falls,-93.93,49.11
New Dundee,-80.54,43.35
New Hamburg,-80.71,43.38
Newmans Cove,-53.19,48.59
Notre Dame de Lourdes,-98.56,49.53
Old Crow,-139.84,67.57
Ootsa Lake,-126.05,53.8
Osnaburgh House,-90.27,51.14
Oyster Bed Bridge,-63.24,46.39
Pakenham,-76.29,45.33
Pakwaw Lake,-102.63,53.48
Panet,-70.08,46.58
Pangnirtung,-65.72,66.14
Parson,-116.63,51.07
Paulatuk,-124.07,69.35
Pelly Crossing,-136.57,62.82
Pendleton Bay,-125.71,54.52
Penny,-121.28,53.85
Petit Rocher,-65.72,47.78
Piccadilly Head,-58.93,48.59
Pikangikum,-93.99,51.81
Pine Falls,-96.2,50.57
Pine Lake,-113.48,52.11
Pink Mountain,-122.52,57.03
Pond Inlet,-77.96,72.7
Port Perry,-78.95,44.1
Puvirnituq,-77.28,60.03
Qikiqtarjuaq,-64.03,67.55
Quaqtaq,-69.62,61.03
Queens,-65.0,44.23
Quilchena,-120.5,50.17
Quirpon,-55.44,51.58
Rancheria,-130.6,60.09
Red Earth,-102.87,53.48
Regway,-104.57,49.0
Reliance,-109.16,62.71
Renews,-52.93,46.93
Rhone,-119.02,49.23
Roddickton,-56.11,50.85
Roosville,-115.05,49.0
Rosenhof,-107.57,50.22
Ross River,-132.45,61.98
Sachigo Lake,-92.17,53.87
Sachs Harbour,-125.25,71.99
Sacré-Coeur-Saguenay,-69.8,48.23
Saint-Boniface-de-Shawinigan,-72.82,46.5
Saint-Côme--Linière,-70.52,46.07
Sainte-Anne-des-Monts--Tourelle,-66.49,49.13
Sainte-Clotilde-de-Châteauguay,-73.68,45.16
Saint-Élie,-72.96,46.49
Sainte-Perpétue-de-L'Islet,-69.94,47.06
Saint-Lin--Laurentides,-73.76,45.85
Saint-Régis,-74.65,45.0
Saint-Sauveur-des-Monts,-74.17,45.9
Saint-Stanislas-de-Champlain,-72.39,46.61
Saint-Urbain-de-Charlevoix,-70.54,47.56
Salluit,-75.65,62.2
Sanikiluaq,-79.23,56.53
Saturna,-123.2,48.8
Scotland,-80.37,43.02
Seldom-Little Seldom,-54.19,49.62
Sharbot Lake,-76.69,44.77
Shilo,-99.64,49.81
Shulus,-120.85,50.13
Sop's Arm,-56.88,49.77
Spencerville,-75.54,44.84
St. André,-67.75,47.13
St. Andrew's,-59.27,47.78
St. Edward,-64.18,46.88
St. Jacobs,-80.55,43.53
St. Leonard,-67.93,47.16
Starblanket,-106.93,53.38
Stewart Crossing,-136.68,63.37
Stittsville,-75.92,45.26
Sunderland,-79.07,44.26
Sunnynook,-111.67,51.29
Swift River,-131.19,60.0
Sydenham,-76.6,44.41
Tagish,-134.27,60.31
Taloyoak,-93.52,69.54
Teslin,-132.72,60.17
Thorndale,-81.14,43.1
Tors Cove,-52.85,47.22
Trutch,-122.95,57.73
Tsiigehtchic,-133.74,67.44
Tuktoyaktuk,-133.04,69.45
Tulita,-125.58,64.9
Ulukhaktok,-117.77,70.74
Umingmaktok,-107.95,67.7
Upper Ferry,-59.25,47.84
Vernon Bridge,-62.88,46.18
Waglisla,-128.14,52.16
Walpole Island,-82.52,42.61
Wawa,-84.77,47.99
Weagamow Lake,-91.35,52.95
Wekweètì,-114.19,64.19
What??,-117.272778,63.14
Whitecap,-106.7,51.87
Whitedog,-94.93,50.13
Wild Horse,-110.22,49.0
Wrigley,-123.47,63.23
